quarter,y,pi,r,q,c,i,g,x,m
2003Q1,117.48,0.05132745498,25.82222222,154.1333333,112.4,104.41,110.01,171.44,99.82
2003Q2,116.49,0.01433538125,26.43956044,133.8166667,111.36,97.09,111.19,176.99,98.89
2003Q3,117.57,0.01324897304,23.47826087,130.5533333,111.6,97.66,113.38,179.2,98.23
2003Q4,118.79,0.01154267127,18.40217391,130.9533333,112.55,101.94,116.34,185.31,108.35
2004Q1,120.44,0.01851096789,16.46153846,134.7233333,113.37,105.56,114.1,195.73,107.25
2004Q2,123.77,0.01598148398,16.03846154,140.59,114.84,109.02,118.31,200.89,111.35
2004Q3,125.33,0.01941579721,16.04076087,135.8766667,117.1,111.08,118.24,204.61,111.02
2004Q4,126.29,0.0200278011,16.9673913,128.97,119.98,109.11,117.76,210.68,115.09
2005Q1,127.41,0.01790579874,18.46666667,123.1233333,119.4,107.49,118.35,219.44,118.96
2005Q2,128.76,0.01343990147,19.56318681,112.75,120.33,112.47,119.01,223.61,121.17
2005Q3,128.01,0.007718964875,19.70652174,105.7433333,122.21,111.56,120.25,226.85,119.13
2005Q4,129.65,0.0166881985,18.80434783,99.66333333,123.98,111.69,120.22,230.71,124.28
2006Q1,131.73,0.01436729402,17.20833333,97.13666667,125.32,117.66,121.84,233.18,133.06
2006Q2,132.15,0.00099558559,15.73351648,98.93333333,127.27,116.7,121.89,219.27,137.57
2006Q3,134.36,0.004505991995,14.68478261,99.48666667,128.59,117.34,123.32,248.91,146.8
2006Q4,135.94,0.0112409991,13.67391304,98.54333333,130.44,121.11,127.85,242.31,151.73
2007Q1,138.47,0.01255199163,13,96.61333333,133.33,126.85,126.96,248.75,159.37
2007Q2,140.81,0.0081218596,12.42307692,92.40333333,135.08,131.53,130.02,245.6,162.34
2007Q3,142.27,0.008924080304,11.5298913,90.33666667,135.93,133.39,129.33,250.24,174.45
2007Q4,144.41,0.01426180436,11.25,86.34,139.88,137.27,128.67,252.07,179.14
2008Q1,146.24,0.01517602701,11.25,85.95666667,142.9,142.72,130.76,248.64,186.38
2008Q2,149.2,0.02094293153,11.80494505,84.06666667,144.53,149.94,130.59,258.16,200.77
2008Q3,151.63,0.01073593858,12.97554348,83.07333333,147.23,156.83,134.4,252.55,205.93
2008Q4,145.92,0.01093892536,13.75,102.6966667,144.86,144.47,129.82,237.61,193.42
2009Q1,143.83,0.0123470528,12.65,99.42333333,146.12,129.47,134.92,222.34,166.05
2009Q2,146.47,0.01315684122,10.35989011,90.89,150.31,137.84,133.32,231.26,174.74
2009Q3,149.89,0.00631296864,8.869565217,83.79,153.79,150.64,134.79,226.92,183.04
2009Q4,153.76,0.01063705248,8.75,79.43,154.9,162.87,137.97,228.6,205.09
2010Q1,156.94,0.0206383642,8.75,79.95666667,157.01,167.08,139.08,251.22,231.17
2010Q2,158.94,0.01002451,9.442307692,77.08,158.5,169.47,139.94,248.96,236.17
2010Q3,160.33,0.00500229018,10.63586957,76.27666667,161.96,173.95,141.31,256.18,253.71
2010Q4,162.63,0.02226218217,10.75,74.88666667,165.38,175.58,141.82,258.35,254.75
2011Q1,164.81,0.02439569456,11.30555556,74.21,166.94,180.21,142.93,261.4,257.4
2011Q2,166.48,0.01395484429,11.99450549,72.67,169.18,183.06,144.33,265.18,268.15
2011Q3,166.1,0.01063404138,12.2826087,74.43666667,168.51,184.81,143.76,270.11,270.77
2011Q4,167.64,0.0145699718,11.43478261,78.55666667,169.4,185.39,143.44,272.25,280.7
2012Q1,165.23,0.01224646292,10.4010989,77.06666667,171.77,184.83,146.31,271.05,267.33
2012Q2,168.21,0.01083105843,8.978021978,84.54333333,173.1,184.84,147.16,260.92,274.21
2012Q3,171.13,0.01416561049,7.885869565,86.81333333,175.35,183.02,146.42,265.95,264.89
2012Q4,171.16,0.01992968966,7.277173913,87.94333333,177.29,186.85,147.73,274.98,278.44
2013Q1,172.07,0.01942046252,7.25,84.18333333,178.16,189.18,146.47,265.66,289.25
2013Q2,174.46,0.01184432291,7.629120879,85.93666667,180.48,200.28,148.79,272.55,292.45
2013Q3,175.27,0.00621017252,8.625,95.43333333,181.61,197.35,149.84,268.12,286.97
2013Q4,175.56,0.02043318318,9.635869565,94.01666667,181.5,195.38,151.42,287.39,285.84
2014Q1,177.05,0.02175237914,10.50833333,94,184.46,196.19,149.62,270.44,287.09
2014Q2,174.42,0.01537614328,10.99450549,87.19333333,183.46,187.51,150.59,266.59,281.31
2014Q3,174.32,0.008315071425,11,88.61666667,183.66,183.04,151.22,279.37,288.69
2014Q4,175.23,0.01719412708,11.32336957,94.82666667,186.42,182.71,149.97,261.78,270.84
2015Q1,173.86,0.0382779969,12.28333333,99.68666667,183.23,177.21,149.27,277.1,270.14
2015Q2,169.75,0.02256750507,13.23901099,104.2966667,179.72,164.89,148.09,288.55,252.47
2015Q3,166.95,0.01385907366,14.0923913,118.15,176.41,155.59,148.36,286.65,230.22
2015Q4,165.67,0.02815929507,14.25,123.8466667,175.21,147.32,147.08,298.47,217.21
2016Q1,163.3,0.02620810149,14.25,118.52,172.92,144.01,149.22,298.7,206.52
2016Q2,163.75,0.01749639653,14.25,107.8633333,171.89,147.64,148.8,297.16,227.98
2016Q3,162.86,0.0104305783,14.25,98.94,171.28,138.66,148.22,283.58,213.07
2016Q4,162.7,0.00741789404,13.9673913,97.44666667,170.88,136.05,147.89,280.55,222.02
2017Q1,164.35,0.00963032135,12.78333333,92.23333333,171.98,136.58,147.01,299.16,226.86
2017Q2,165.73,0.002193980018,11.0521978,96.04333333,174.78,136.57,147.27,305.96,227.26
2017Q3,166.12,0.005911447296,9.282608696,97.44,176.5,137.09,147.12,311.8,235.01
2017Q4,167.02,0.01144261174,7.567934783,99.59,177.05,141.33,148.69,302.09,243.38
2018Q1,168.01,0.007014778352,6.827777778,101.3133333,178.39,141.22,148.58,313.47,241.94
2018Q2,167.85,0.01888703088,6.5,109.1933333,178.76,142.2,148.94,300.39,241.74
2018Q3,169.46,0.007208535744,6.5,113.9933333,179.8,149.69,149.56,319.74,266.39
2018Q4,169.01,0.003894135825,6.5,107.5,180.01,147.05,147.6,328.76,247.29
2019Q1,169.54,0.0150701132,6.5,106.5266667,182.58,145.35,148.21,314.42,240.63
2019Q2,170.49,0.007108110741,6.5,109.12,183.25,152.97,148.14,301.99,254.77
2019Q3,170.53,0.002600889164,6.10326087,110.0666667,184.33,157.14,147.76,302.94,265.77
2019Q4,172.02,0.01767530865,5.054347826,112.47,185.39,148.14,147.66,311.49,249.08
