quarter,variable,value,unit,source_id,revision_policy,frequency_model,transform,observation_count,missing_flag
2003Q1,x,171.44,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2003Q2,x,176.99,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2003Q3,x,179.2,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2003Q4,x,185.31,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2004Q1,x,195.73,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2004Q2,x,200.89,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2004Q3,x,204.61,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2004Q4,x,210.68,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2005Q1,x,219.44,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2005Q2,x,223.61,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2005Q3,x,226.85,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2005Q4,x,230.71,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2006Q1,x,233.18,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2006Q2,x,219.27,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2006Q3,x,248.91,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2006Q4,x,242.31,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2007Q1,x,248.75,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2007Q2,x,245.6,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2007Q3,x,250.24,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2007Q4,x,252.07,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2008Q1,x,248.64,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2008Q2,x,258.16,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2008Q3,x,252.55,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2008Q4,x,237.61,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2009Q1,x,222.34,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2009Q2,x,231.26,index,IBGE-SIDRA-CNT-1621-v584-c11255-93407-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
