quarter,variable,value,unit,source_id,revision_policy,frequency_model,transform,observation_count,missing_flag
2003Q1,y,117.48,index,IBGE-SIDRA-CNT-1621-v584-c11255-90707-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2003Q2,y,116.49,index,IBGE-SIDRA-CNT-1621-v584-c11255-90707-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2003Q3,y,117.57,index,IBGE-SIDRA-CNT-1621-v584-c11255-90707-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2003Q4,y,118.79,index,IBGE-SIDRA-CNT-1621-v584-c11255-90707-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2004Q1,y,120.44,index,IBGE-SIDRA-CNT-1621-v584-c11255-90707-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2004Q2,y,123.77,index,IBGE-SIDRA-CNT-1621-v584-c11255-90707-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2004Q3,y,125.33,index,IBGE-SIDRA-CNT-1621-v584-c11255-90707-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2004Q4,y,126.29,index,IBGE-SIDRA-CNT-1621-v584-c11255-90707-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2005Q1,y,127.41,index,IBGE-SIDRA-CNT-1621-v584-c11255-90707-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2005Q2,y,128.76,index,IBGE-SIDRA-CNT-1621-v584-c11255-90707-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2005Q3,y,128.01,index,IBGE-SIDRA-CNT-1621-v584-c11255-90707-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2005Q4,y,129.65,index,IBGE-SIDRA-CNT-1621-v584-c11255-90707-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2006Q1,y,131.73,index,IBGE-SIDRA-CNT-1621-v584-c11255-90707-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2006Q2,y,132.15,index,IBGE-SIDRA-CNT-1621-v584-c11255-90707-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2006Q3,y,134.36,index,IBGE-SIDRA-CNT-1621-v584-c11255-90707-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2006Q4,y,135.94,index,IBGE-SIDRA-CNT-1621-v584-c11255-90707-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
