quarter,variable,value,unit,source_id,revision_policy,frequency_model,transform,observation_count,missing_flag
2003Q1,g,110.01,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2003Q2,g,111.19,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2003Q3,g,113.38,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2003Q4,g,116.34,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2004Q1,g,114.1,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2004Q2,g,118.31,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2004Q3,g,118.24,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2004Q4,g,117.76,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2005Q1,g,118.35,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2005Q2,g,119.01,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2005Q3,g,120.25,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2005Q4,g,120.22,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2006Q1,g,121.84,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2006Q2,g,121.89,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2006Q3,g,123.32,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2006Q4,g,127.85,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2007Q1,g,126.96,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2007Q2,g,130.02,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2007Q3,g,129.33,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2007Q4,g,128.67,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2008Q1,g,130.76,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2008Q2,g,130.59,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2008Q3,g,134.4,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2008Q4,g,129.82,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2009Q1,g,134.92,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2009Q2,g,133.32,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2009Q3,g,134.79,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2009Q4,g,137.97,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2010Q1,g,139.08,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2010Q2,g,139.94,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2010Q3,g,141.31,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2010Q4,g,141.82,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2011Q1,g,142.93,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2011Q2,g,144.33,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2011Q3,g,143.76,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2011Q4,g,143.44,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2012Q1,g,146.31,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2012Q2,g,147.16,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2012Q3,g,146.42,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2012Q4,g,147.73,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2013Q1,g,146.47,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2013Q2,g,148.79,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2013Q3,g,149.84,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2013Q4,g,151.42,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2014Q1,g,149.62,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2014Q2,g,150.59,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2014Q3,g,151.22,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2014Q4,g,149.97,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2015Q1,g,149.27,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2015Q2,g,148.09,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2015Q3,g,148.36,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2015Q4,g,147.08,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2016Q1,g,149.22,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2016Q2,g,148.8,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2016Q3,g,148.22,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2016Q4,g,147.89,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2017Q1,g,147.01,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2017Q2,g,147.27,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2017Q3,g,147.12,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2017Q4,g,148.69,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2018Q1,g,148.58,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2018Q2,g,148.94,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2018Q3,g,149.56,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2018Q4,g,147.6,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2019Q1,g,148.21,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2019Q2,g,148.14,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2019Q3,g,147.76,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2019Q4,g,147.66,index,IBGE-SIDRA-CNT-1621-v584-c11255-93405-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
