quarter,variable,value,unit,source_id,revision_policy,frequency_model,transform,observation_count,missing_flag
2003Q1,m,99.82,index,IBGE-SIDRA-CNT-1621-v584-c11255-93408-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2003Q2,m,98.89,index,IBGE-SIDRA-CNT-1621-v584-c11255-93408-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2003Q3,m,98.23,index,IBGE-SIDRA-CNT-1621-v584-c11255-93408-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2003Q4,m,108.35,index,IBGE-SIDRA-CNT-1621-v584-c11255-93408-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2004Q1,m,107.25,index,IBGE-SIDRA-CNT-1621-v584-c11255-93408-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2004Q2,m,111.35,index,IBGE-SIDRA-CNT-1621-v584-c11255-93408-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2004Q3,m,111.02,index,IBGE-SIDRA-CNT-1621-v584-c11255-93408-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2004Q4,m,115.09,index,IBGE-SIDRA-CNT-1621-v584-c11255-93408-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2005Q1,m,118.96,index,IBGE-SIDRA-CNT-1621-v584-c11255-93408-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2005Q2,m,121.17,index,IBGE-SIDRA-CNT-1621-v584-c11255-93408-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2005Q3,m,119.13,index,IBGE-SIDRA-CNT-1621-v584-c11255-93408-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2005Q4,m,124.28,index,IBGE-SIDRA-CNT-1621-v584-c11255-93408-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2006Q1,m,133.06,index,IBGE-SIDRA-CNT-1621-v584-c11255-93408-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2006Q2,m,137.57,index,IBGE-SIDRA-CNT-1621-v584-c11255-93408-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2006Q3,m,146.8,index,IBGE-SIDRA-CNT-1621-v584-c11255-93408-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2006Q4,m,151.73,index,IBGE-SIDRA-CNT-1621-v584-c11255-93408-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2007Q1,m,159.37,index,IBGE-SIDRA-CNT-1621-v584-c11255-93408-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2007Q2,m,162.34,index,IBGE-SIDRA-CNT-1621-v584-c11255-93408-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
