quarter,variable,value,unit,source_id,revision_policy,frequency_model,transform,observation_count,missing_flag
2003Q1,i,104.41,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2003Q2,i,97.09,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2003Q3,i,97.66,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2003Q4,i,101.94,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2004Q1,i,105.56,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2004Q2,i,109.02,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2004Q3,i,111.08,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2004Q4,i,109.11,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2005Q1,i,107.49,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2005Q2,i,112.47,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2005Q3,i,111.56,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2005Q4,i,111.69,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2006Q1,i,117.66,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2006Q2,i,116.7,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2006Q3,i,117.34,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2006Q4,i,121.11,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2007Q1,i,126.85,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2007Q2,i,131.53,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2007Q3,i,133.39,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2007Q4,i,137.27,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2008Q1,i,142.72,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2008Q2,i,149.94,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2008Q3,i,156.83,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2008Q4,i,144.47,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2009Q1,i,129.47,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2009Q2,i,137.84,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2009Q3,i,150.64,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2009Q4,i,162.87,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2010Q1,i,167.08,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2010Q2,i,169.47,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2010Q3,i,173.95,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2010Q4,i,175.58,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2011Q1,i,180.21,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2011Q2,i,183.06,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2011Q3,i,184.81,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2011Q4,i,185.39,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2012Q1,i,184.83,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2012Q2,i,184.84,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2012Q3,i,183.02,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2012Q4,i,186.85,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2013Q1,i,189.18,index,IBGE-SIDRA-CNT-1621-v584-c11255-93406-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
