quarter,variable,value,unit,source_id,revision_policy,frequency_model,transform,observation_count,missing_flag
2003Q1,pi,0.05132745498,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2003Q2,pi,0.01433538125,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2003Q3,pi,0.01324897304,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2003Q4,pi,0.01154267127,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2004Q1,pi,0.01851096789,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2004Q2,pi,0.01598148398,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2004Q3,pi,0.01941579721,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2004Q4,pi,0.0200278011,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2005Q1,pi,0.01790579874,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2005Q2,pi,0.01343990147,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2005Q3,pi,0.007718964875,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2005Q4,pi,0.0166881985,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2006Q1,pi,0.01436729402,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2006Q2,pi,0.00099558559,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2006Q3,pi,0.004505991995,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2006Q4,pi,0.0112409991,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2007Q1,pi,0.01255199163,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2007Q2,pi,0.0081218596,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2007Q3,pi,0.008924080304,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2007Q4,pi,0.01426180436,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2008Q1,pi,0.01517602701,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2008Q2,pi,0.02094293153,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2008Q3,pi,0.01073593858,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2008Q4,pi,0.01093892536,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2009Q1,pi,0.0123470528,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2009Q2,pi,0.01315684122,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2009Q3,pi,0.00631296864,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2009Q4,pi,0.01063705248,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2010Q1,pi,0.0206383642,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2010Q2,pi,0.01002451,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2010Q3,pi,0.00500229018,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2010Q4,pi,0.02226218217,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2011Q1,pi,0.02439569456,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2011Q2,pi,0.01395484429,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2011Q3,pi,0.01063404138,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2011Q4,pi,0.0145699718,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2012Q1,pi,0.01224646292,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2012Q2,pi,0.01083105843,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2012Q3,pi,0.01416561049,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2012Q4,pi,0.01992968966,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2013Q1,pi,0.01942046252,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2013Q2,pi,0.01184432291,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2013Q3,pi,0.00621017252,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
2013Q4,pi,0.02043318318,decimal_rate,IBGE-SIDRA-IPCA-1737-v63-n1-1,final_revised,quarterly,compound_monthly_percent_to_quarterly_decimal,3,none
