quarter,variable,value,unit,source_id,revision_policy,frequency_model,transform,observation_count,missing_flag
2003Q1,c,112.4,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2003Q2,c,111.36,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2003Q3,c,111.6,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2003Q4,c,112.55,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2004Q1,c,113.37,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2004Q2,c,114.84,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2004Q3,c,117.1,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2004Q4,c,119.98,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2005Q1,c,119.4,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2005Q2,c,120.33,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2005Q3,c,122.21,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2005Q4,c,123.98,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2006Q1,c,125.32,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2006Q2,c,127.27,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2006Q3,c,128.59,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2006Q4,c,130.44,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2007Q1,c,133.33,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2007Q2,c,135.08,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2007Q3,c,135.93,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2007Q4,c,139.88,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2008Q1,c,142.9,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2008Q2,c,144.53,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2008Q3,c,147.23,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2008Q4,c,144.86,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2009Q1,c,146.12,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2009Q2,c,150.31,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2009Q3,c,153.79,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2009Q4,c,154.9,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2010Q1,c,157.01,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2010Q2,c,158.5,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2010Q3,c,161.96,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2010Q4,c,165.38,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
2011Q1,c,166.94,index,IBGE-SIDRA-CNT-1621-v584-c11255-93404-n1-1,final_revised,quarterly,source_quarterly_index_level,1,none
