quarter,variable,value,unit,source_id,revision_policy,frequency_model,transform,observation_count,missing_flag
2003Q1,q,154.1333333,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2003Q2,q,133.8166667,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2003Q3,q,130.5533333,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2003Q4,q,130.9533333,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2004Q1,q,134.7233333,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2004Q2,q,140.59,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2004Q3,q,135.8766667,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2004Q4,q,128.97,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2005Q1,q,123.1233333,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2005Q2,q,112.75,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2005Q3,q,105.7433333,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2005Q4,q,99.66333333,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2006Q1,q,97.13666667,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2006Q2,q,98.93333333,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2006Q3,q,99.48666667,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2006Q4,q,98.54333333,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2007Q1,q,96.61333333,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2007Q2,q,92.40333333,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2007Q3,q,90.33666667,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2007Q4,q,86.34,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2008Q1,q,85.95666667,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2008Q2,q,84.06666667,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2008Q3,q,83.07333333,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2008Q4,q,102.6966667,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2009Q1,q,99.42333333,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2009Q2,q,90.89,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2009Q3,q,83.79,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2009Q4,q,79.43,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2010Q1,q,79.95666667,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2010Q2,q,77.08,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2010Q3,q,76.27666667,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2010Q4,q,74.88666667,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2011Q1,q,74.21,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2011Q2,q,72.67,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2011Q3,q,74.43666667,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2011Q4,q,78.55666667,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2012Q1,q,77.06666667,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2012Q2,q,84.54333333,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2012Q3,q,86.81333333,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2012Q4,q,87.94333333,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2013Q1,q,84.18333333,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2013Q2,q,85.93666667,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2013Q3,q,95.43333333,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2013Q4,q,94.01666667,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2014Q1,q,94,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2014Q2,q,87.19333333,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2014Q3,q,88.61666667,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2014Q4,q,94.82666667,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2015Q1,q,99.68666667,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2015Q2,q,104.2966667,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2015Q3,q,118.15,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2015Q4,q,123.8466667,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2016Q1,q,118.52,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2016Q2,q,107.8633333,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2016Q3,q,98.94,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2016Q4,q,97.44666667,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2017Q1,q,92.23333333,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2017Q2,q,96.04333333,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2017Q3,q,97.44,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2017Q4,q,99.59,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2018Q1,q,101.3133333,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2018Q2,q,109.1933333,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2018Q3,q,113.9933333,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2018Q4,q,107.5,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2019Q1,q,106.5266667,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2019Q2,q,109.12,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2019Q3,q,110.0666667,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
2019Q4,q,112.47,index,BCB-SGS-11752,final_revised,quarterly,quarterly_arithmetic_average_of_monthly_index,3,none
