quarter,variable,value,unit,source_id,revision_policy,frequency_model,transform,observation_count,missing_flag
2003Q1,r,25.82222222,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,90,none
2003Q2,r,26.43956044,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,91,none
2003Q3,r,23.47826087,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,92,none
2003Q4,r,18.40217391,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,92,none
2004Q1,r,16.46153846,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,91,none
2004Q2,r,16.03846154,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,91,none
2004Q3,r,16.04076087,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,92,none
2004Q4,r,16.9673913,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,92,none
2005Q1,r,18.46666667,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,90,none
2005Q2,r,19.56318681,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,91,none
2005Q3,r,19.70652174,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,92,none
2005Q4,r,18.80434783,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,92,none
2006Q1,r,17.20833333,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,90,none
2006Q2,r,15.73351648,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,91,none
2006Q3,r,14.68478261,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,92,none
2006Q4,r,13.67391304,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,92,none
2007Q1,r,13,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,90,none
2007Q2,r,12.42307692,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,91,none
2007Q3,r,11.5298913,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,92,none
2007Q4,r,11.25,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,92,none
2008Q1,r,11.25,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,91,none
2008Q2,r,11.80494505,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,91,none
2008Q3,r,12.97554348,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,92,none
2008Q4,r,13.75,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,92,none
2009Q1,r,12.65,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,90,none
2009Q2,r,10.35989011,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,91,none
2009Q3,r,8.869565217,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,92,none
2009Q4,r,8.75,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,92,none
2010Q1,r,8.75,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,90,none
2010Q2,r,9.442307692,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,91,none
2010Q3,r,10.63586957,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,92,none
2010Q4,r,10.75,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,92,none
2011Q1,r,11.30555556,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,90,none
2011Q2,r,11.99450549,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,91,none
2011Q3,r,12.2826087,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,92,none
2011Q4,r,11.43478261,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,92,none
2012Q1,r,10.4010989,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,91,none
2012Q2,r,8.978021978,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,91,none
2012Q3,r,7.885869565,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,92,none
2012Q4,r,7.277173913,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,92,none
2013Q1,r,7.25,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,90,none
2013Q2,r,7.629120879,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,91,none
2013Q3,r,8.625,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,92,none
2013Q4,r,9.635869565,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,92,none
2014Q1,r,10.50833333,annual_percent_rate,BCB-SGS-432,final_revised,quarterly,quarterly_arithmetic_average_of_observed_annual_percent_rate,90,none
